M                     0.9          1.0          1.2          1.5          1.8          1.9          2.0          2.2          2.5          3.0          3.5          4.0          4.5          5.0          5.5          6.0          6.5          7.0          8.0         10.0         13.0         15.0         18.0         20.0         25.0         30.0         40.0
Mrem                0.473        0.577        0.600        0.633        0.636        0.640        0.642        0.652        0.663        0.694        0.766        0.836        0.861        0.886        0.907        0.948        0.989        1.010        1.120        1.150        1.606        1.500        1.901        1.670        1.734        2.362        2.552
H__1          0.00000E+00 -0.87318E-02 -0.14434E-01 -0.17564E-01 -0.25943E-01 -0.31063E-01 -0.39669E-01 -0.65412E-01 -0.95615E-01 -0.16557E+00 -0.11106E+00 -0.90245E-01 -0.19873E+00 -0.32480E+00 -0.35034E+00 -0.44553E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.62798E+01  0.69730E+01  0.77692E+01  0.85110E+01  0.80767E+01  0.95391E+01  0.73878E+01
H__2          0.00000E+00  0.13043E-17  0.25551E-17  0.40549E-17  0.57414E-17  0.65728E-17  0.75394E-17  0.10016E-16  0.11287E-16  0.14936E-16  0.17394E-16  0.19481E-16  0.20211E-16  0.19783E-16  0.22763E-16  0.24202E-16  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.96879E-14  0.15747E-13  0.37157E-13  0.50633E-13  0.27322E-15  0.39915E-13  0.18346E-15
He_3          0.00000E+00  0.13487E-03  0.21324E-03  0.29547E-03  0.32692E-03  0.32520E-03  0.31964E-03  0.29353E-03  0.26844E-03  0.24552E-03  0.23606E-03  0.19269E-03  0.71511E-05  0.19800E-05  0.21476E-05  0.17999E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.18128E-03  0.18460E-03  0.20189E-03  0.20231E-03  0.19270E-03  0.19595E-03  0.12421E-03
He_4          0.00000E+00  0.85845E-02  0.14188E-01  0.16941E-01  0.22417E-01  0.25209E-01  0.31098E-01  0.49321E-01  0.72426E-01  0.12304E+00  0.82296E-01  0.69045E-01  0.15801E+00  0.27192E+00  0.30563E+00  0.40480E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.41483E+01  0.50780E+01  0.55112E+01  0.69172E+01  0.71284E+01  0.81093E+01  0.66474E+01
Li_6          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.25276E-16  0.50678E-16  0.53061E-16  0.16480E-15  0.39144E-18  0.12669E-15  0.12306E-19
Li_7          0.00000E+00 -0.65438E-09 -0.12199E-08 -0.19410E-08 -0.28341E-08 -0.32856E-08 -0.36018E-08 -0.42462E-08 -0.50905E-08 -0.84341E-08 -0.71590E-08  0.27300E-07 -0.85368E-08 -0.15116E-07 -0.16685E-07 -0.18663E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.24240E-10  0.34646E-12  0.28027E-10  0.27444E-11  0.16802E-12  0.64246E-12  0.29268E-11
Be_9          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.61139E-16  0.61993E-16  0.38147E-17  0.31346E-15  0.13370E-18  0.21540E-15  0.37192E-21
B_10          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.62758E-10  0.72911E-10  0.61255E-10  0.79933E-10  0.35250E-10  0.83819E-10  0.37718E-11
B_11          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.24997E-09  0.32474E-09  0.27773E-09  0.26487E-07  0.15226E-09  0.37589E-09  0.15938E-10
C_12          0.00000E+00 -0.78922E-04 -0.20301E-03 -0.86206E-04  0.24703E-02  0.46137E-02  0.71023E-02  0.13935E-01  0.20251E-01  0.36874E-01  0.25123E-01  0.17547E-01  0.20760E-02 -0.90164E-03  0.31957E-03 -0.16482E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.96208E-01  0.78175E-01  0.14859E+00  0.16094E+00  0.14131E+00  0.21110E+00  0.51752E+00
C_13          0.00000E+00  0.94678E-05  0.14406E-04  0.19668E-04  0.24019E-04  0.25134E-04  0.26374E-04  0.28203E-04  0.30627E-04  0.39072E-04  0.57473E-04  0.66571E-03  0.74226E-03  0.65899E-03  0.60627E-03  0.65377E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.53865E-03  0.61503E-03  0.93834E-03  0.78906E-03  0.33130E-03  0.10195E-02  0.39498E-03
N_14          0.00000E+00  0.85087E-04  0.22859E-03  0.39390E-03  0.57118E-03  0.63368E-03  0.70773E-03  0.85970E-03  0.10903E-02  0.14470E-02  0.18113E-02  0.20839E-02  0.36703E-01  0.53830E-01  0.46109E-01  0.47771E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.25855E-01  0.33850E-01  0.36562E-01  0.41458E-01  0.42086E-01  0.55476E-01  0.39800E-01
N_15          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.21493E-04  0.30659E-04  0.38551E-04  0.11247E-03  0.83716E-04  0.56590E-05  0.53118E-05
O_16          0.00000E+00 -0.35883E-05 -0.79062E-05 -0.92513E-05  0.24180E-04  0.47011E-04  0.34120E-04 -0.24937E-04 -0.23729E-03 -0.60330E-03 -0.55493E-03 -0.42982E-03 -0.11042E-02 -0.38190E-02 -0.44756E-02 -0.77992E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.31332E+00  0.23600E+00  0.12120E+01  0.10191E+01  0.25473E+01  0.41112E+01  0.76908E+01
O_17          0.00000E+00  0.38000E-06  0.95284E-06  0.29964E-05  0.89274E-05  0.14333E-04  0.17699E-04  0.23413E-04  0.21739E-04  0.20873E-04  0.23236E-04  0.21879E-04  0.17764E-04  0.19980E-04  0.25225E-04  0.26870E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.42384E-03  0.39910E-03  0.43668E-03  0.46859E-03  0.48837E-03  0.79533E-03  0.50903E-03
