M                     20.          25.          30.          40.
Mrem                 2.03         1.91         3.62         3.72
H__1          0.85110E+01  0.80766E+01  0.95391E+01  0.73878E+01
H__2          0.21122E-12  0.10769E-11  0.47645E-12  0.63811E-12
He_3          0.20231E-03  0.19270E-03  0.19595E-03  0.12421E-03
He_4          0.69123E+01  0.71420E+01  0.81205E+01  0.66836E+01
Li_6          0.70233E-15  0.45790E-15  0.15830E-14  0.21202E-14
Li_7          0.17817E-11  0.10724E-09  0.46261E-12  0.28771E-11
Be_9          0.40919E-15  0.22409E-15  0.40757E-15  0.10530E-14
B_10          0.79958E-10  0.35253E-10  0.83837E-10  0.37742E-11
B_11          0.18725E-08  0.15373E-09  0.37769E-09  0.16291E-10
C_12          0.13729E+00  0.13114E+00  0.15453E+00  0.42323E+00
C_13          0.78878E-03  0.33018E-03  0.10196E-02  0.39514E-03
N_14          0.41439E-01  0.42126E-01  0.55472E-01  0.39365E-01
N_15          0.12471E-03  0.93308E-04  0.98195E-05  0.26054E-04
O_16          0.87064E+00  0.24404E+01  0.33577E+01  0.69075E+01
O_17          0.46773E-03  0.48728E-03  0.79313E-03  0.50697E-03
O_18          0.20946E-02  0.14285E-02  0.12245E-02  0.48632E-02
F_19          0.32555E-04  0.12292E-03  0.71884E-05  0.90799E-05
Ne20          0.20642E+00  0.67855E+00  0.51322E+00  0.14021E+01
Ne21          0.10300E-02  0.14385E-02  0.13429E-02  0.27249E-02
Ne22          0.46040E-02  0.10605E-01  0.65889E-02  0.50418E-02
Na23          0.63232E-02  0.11421E-01  0.11535E-01  0.32296E-01
Mg24          0.75723E-01  0.21602E+00  0.18142E+00  0.37028E+00
Mg25          0.57510E-02  0.15132E-01  0.12211E-01  0.30539E-01
Mg26          0.42015E-02  0.14003E-01  0.13397E-01  0.31383E-01
Al27          0.57581E-02  0.17938E-01  0.16923E-01  0.44035E-01
Si28          0.99549E-01  0.17525E+00  0.31775E+00  0.46821E+00
Si29          0.22859E-02  0.55163E-02  0.74181E-02  0.11107E-01
Si30          0.26337E-02  0.73765E-02  0.91993E-02  0.12688E-01
P_31          0.68810E-03  0.15585E-02  0.23398E-02  0.34759E-02
S_32          0.39220E-01  0.64227E-01  0.13384E+00  0.19099E+00
S_33          0.39427E-03  0.59416E-03  0.12074E-02  0.16100E-02
S_34          0.24182E-02  0.48556E-02  0.87794E-02  0.11389E-01
S_36          0.85213E-05  0.17411E-04  0.30391E-04  0.43212E-04
Cl35          0.15799E-03  0.20952E-03  0.42534E-03  0.59135E-03
Cl37          0.55391E-04  0.11247E-03  0.16067E-03  0.31426E-03
Ar36          0.56720E-02  0.92112E-02  0.19046E-01  0.27904E-01
Ar38          0.76842E-03  0.15391E-02  0.29555E-02  0.36224E-02
Ar40          0.22022E-05  0.33981E-05  0.74836E-05  0.45637E-05
K_39          0.83738E-04  0.99960E-04  0.20918E-03  0.23225E-03
K_40          0.89999E-07  0.20192E-06  0.26777E-06  0.46001E-06
K_41          0.83996E-05  0.11453E-04  0.22250E-04  0.33277E-04
Ca40          0.38926E-02  0.69106E-02  0.13505E-01  0.20609E-01
Ca42          0.21428E-04  0.38459E-04  0.73570E-04  0.86661E-04
Ca43          0.18398E-05  0.21182E-05  0.32644E-05  0.44972E-05
Ca44          0.38334E-04  0.10363E-03  0.11915E-03  0.30612E-03
Ca46          0.52511E-06  0.12563E-05  0.14245E-05  0.18423E-05
Ca48          0.18758E-05  0.15557E-05  0.58538E-05  0.19297E-05
Sc45          0.11328E-05  0.21278E-05  0.27786E-05  0.39510E-05
Ti46          0.97240E-05  0.18361E-04  0.31004E-04  0.38726E-04
Ti47          0.33494E-05  0.83194E-05  0.12484E-04  0.24212E-04
Ti48          0.59594E-04  0.16530E-03  0.22889E-03  0.50015E-03
Ti49          0.27491E-05  0.68799E-05  0.87389E-05  0.14547E-04
Ti50          0.27151E-05  0.68065E-05  0.51228E-05  0.16997E-04
V_50          0.31397E-07  0.10054E-06  0.18186E-06  0.20213E-06
V_51          0.64921E-05  0.20633E-04  0.23083E-04  0.43931E-04
Cr50          0.38920E-04  0.46737E-04  0.74927E-04  0.97892E-04
Cr52          0.33028E-03  0.10247E-02  0.15980E-02  0.29338E-02
Cr53          0.36064E-04  0.76362E-04  0.11770E-03  0.17548E-03
Cr54          0.77165E-05  0.14572E-04  0.19300E-04  0.26784E-04
Mn55          0.18844E-03  0.27890E-03  0.43728E-03  0.54324E-03
Fe54          0.20956E-02  0.24509E-02  0.34462E-02  0.53682E-02
Fe56          0.33046E-01  0.96927E-01  0.13211E+00  0.27509E+00
Fe57          0.10896E-02  0.23807E-02  0.36549E-02  0.73980E-02
Fe58          0.21385E-03  0.45428E-03  0.86106E-03  0.74693E-03
Co59          0.13251E-03  0.42768E-03  0.47233E-03  0.86727E-03
Ni58          0.82579E-03  0.10587E-02  0.19898E-02  0.39326E-02
Ni60          0.10921E-02  0.32787E-02  0.42314E-02  0.95222E-02
Ni61          0.18989E-03  0.28339E-03  0.55865E-03  0.57337E-03
Ni62          0.22866E-03  0.40888E-03  0.51720E-03  0.16333E-02
Ni64          0.78481E-04  0.35413E-03  0.92670E-04  0.99073E-03
Cu63          0.47644E-04  0.14853E-03  0.53564E-04  0.30380E-03
Cu65          0.22142E-04  0.10447E-03  0.36324E-04  0.30957E-03
Zn64          0.43359E-04  0.30566E-03  0.23857E-03  0.60702E-03
Zn66          0.42704E-04  0.17690E-03  0.93586E-04  0.56074E-03
Zn67          0.58509E-05  0.35308E-04  0.77705E-05  0.11530E-03
Zn68          0.27440E-04  0.20380E-03  0.48098E-04  0.71897E-03
Zn70          0.11898E-05  0.84561E-05  0.10132E-05  0.25886E-04
Ga69          0.37108E-05  0.25426E-04  0.90094E-05  0.88888E-04
Ga71          0.27565E-05  0.17793E-04  0.63033E-05  0.67685E-04
Ge70          0.48472E-05  0.31656E-04  0.14373E-04  0.13158E-03
Ge72          0.52768E-05  0.50915E-04  0.17064E-04  0.21155E-03
Ge73          0.12509E-05  0.10935E-04  0.27628E-05  0.47056E-04
Ge74          0.10444E-04  0.13347E-03  0.53606E-04  0.68274E-03
