M                     20.          25.          30.          40.
Mrem                 2.24         2.15         2.57         5.52
H__1          0.84343E+01  0.98012E+01  0.11046E+02  0.12902E+02
H__2          0.40983E-15  0.44646E-15  0.15321E-12  0.26559E-14
He_3          0.16042E-03  0.12610E-03  0.14364E-03  0.12117E-03
He_4          0.59552E+01  0.69999E+01  0.84247E+01  0.10828E+02
Li_6          0.93745E-21  0.47441E-20  0.50829E-15  0.76522E-17
Li_7          0.84188E-10  0.91222E-12  0.11167E-11  0.19072E-11
Be_9          0.17228E-20  0.25409E-24  0.25900E-15  0.13543E-17
B_10          0.23715E-11  0.76016E-11  0.22477E-11  0.20209E-11
B_11          0.10472E-10  0.34245E-10  0.10091E-10  0.83594E-11
C_12          0.12409E+00  0.19384E+00  0.10516E+00  0.50806E-01
C_13          0.19627E-04  0.98139E-04  0.82034E-04  0.28158E-03
N_14          0.12859E-01  0.91979E-02  0.61925E-02  0.85325E-02
N_15          0.13696E-05  0.72398E-05  0.90690E-06  0.31655E-05
O_16          0.19967E+01  0.36999E+01  0.49448E+01  0.64159E+01
O_17          0.21770E-04  0.27870E-04  0.48659E-04  0.28334E-04
O_18          0.80972E-05  0.70491E-04  0.19904E-04  0.17638E-03
F_19          0.28047E-05  0.60704E-06  0.20396E-05  0.16499E-05
Ne20          0.45573E+00  0.10487E+01  0.10447E+01  0.18287E+00
Ne21          0.96992E-04  0.42339E-03  0.44258E-03  0.21603E-04
Ne22          0.11654E-02  0.14381E-02  0.12608E-02  0.12467E-03
Na23          0.12871E-02  0.67630E-02  0.46780E-02  0.60430E-03
Mg24          0.23031E+00  0.19269E+00  0.31074E+00  0.51991E+00
Mg25          0.17439E-02  0.15207E-02  0.27890E-02  0.16435E-02
Mg26          0.17532E-02  0.17563E-02  0.32089E-02  0.91781E-03
Al27          0.63218E-02  0.51709E-02  0.87011E-02  0.19614E-01
Si28          0.11370E+00  0.11162E+00  0.23549E+00  0.71398E+00
Si29          0.12758E-02  0.78025E-03  0.16910E-02  0.62169E-02
Si30          0.10656E-02  0.48558E-03  0.12385E-02  0.80043E-02
P_31          0.27079E-03  0.18399E-03  0.39500E-03  0.26716E-02
S_32          0.36255E-01  0.42511E-01  0.92506E-01  0.27953E+00
S_33          0.17980E-03  0.21265E-03  0.41096E-03  0.11979E-02
S_34          0.51062E-03  0.41630E-03  0.10153E-02  0.37414E-02
S_36          0.33056E-06  0.56655E-06  0.93981E-06  0.98987E-06
Cl35          0.38027E-04  0.53631E-04  0.10061E-03  0.35471E-03
Cl37          0.13806E-04  0.19213E-04  0.37541E-04  0.88921E-04
Ar36          0.55503E-02  0.68619E-02  0.14029E-01  0.36709E-01
Ar38          0.14269E-03  0.11764E-03  0.36132E-03  0.12412E-02
Ar40          0.45248E-07  0.86536E-07  0.25426E-06  0.38934E-06
K_39          0.20477E-04  0.17555E-04  0.54335E-04  0.16092E-03
K_40          0.68703E-08  0.10967E-07  0.12312E-07  0.31064E-07
K_41          0.26386E-05  0.22532E-05  0.70826E-05  0.20551E-04
Ca40          0.44853E-02  0.54600E-02  0.11017E-01  0.29272E-01
Ca42          0.37008E-05  0.21772E-05  0.81074E-05  0.31026E-04
Ca43          0.37755E-06  0.49302E-06  0.64525E-06  0.40792E-06
