3.00 0.0200 0.682    mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    al-6     26   1.8962101E-07  1.8962101E-07  0.0000000E+00  8.1803712E-08  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    al27     27   3.1746313E-06  1.3795974E-04  1.3478511E-04  5.9516711E-05  5.8150938E-05  1.0082218E-02
3.00 0.0200 0.682    al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    si28     28   2.4726614E-07  1.5166489E-03  1.5164017E-03  6.5429200E-04  6.5422792E-04  4.2554446E-05
3.00 0.0200 0.682    si29     29   3.6493293E-07  7.9919009E-05  7.9554076E-05  3.4477569E-05  3.4322369E-05  1.9593865E-03
3.00 0.0200 0.682    si30     30   1.1609191E-06  5.5781478E-05  5.4620559E-05  2.4064486E-05  2.3565191E-05  9.1056107E-03
3.00 0.0200 0.682    si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    si32     32   1.6156076E-14  1.6156076E-14  0.0000000E+00  6.9698343E-15  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     p31     31   1.6082304E-06  2.0546173E-05  1.8937943E-05  8.8637498E-06  8.1704811E-06  3.5369866E-02
3.00 0.0200 0.682     p32     32   4.1243374E-18  4.1243374E-18  0.0000000E+00  1.7792655E-18  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682     s32     32  -2.0493171E-06  9.1714517E-04  9.1919448E-04  3.9566227E-04  3.9657217E-04 -9.9759933E-04
3.00 0.0200 0.682     s33     33   2.1646520E-07  7.6988254E-06  7.4823602E-06  3.3213223E-06  3.2281480E-06  1.2357580E-02
3.00 0.0200 0.682     s34     34   4.4237822E-09  4.3386157E-04  4.3385715E-04  1.8717065E-04  1.8718094E-04 -2.3867518E-05
3.00 0.0200 0.682     s35     35   1.5616695E-07  1.5616695E-07  0.0000000E+00  6.7371417E-08  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    fe54     54  -2.3796456E-06  1.6323406E-04  1.6561370E-04  7.0420210E-05  7.1451461E-05 -6.3138059E-03
3.00 0.0200 0.682    fe55     55   9.1518132E-07  9.1518132E-07  0.0000000E+00  3.9481506E-07  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    fe56     56  -1.7811311E-05  2.6976918E-03  2.7155031E-03  1.1638014E-03  1.1715617E-03 -2.8862774E-03
3.00 0.0200 0.682    fe57     57   6.1788960E-06  7.2498093E-05  6.6319197E-05  3.1276140E-05  2.8612385E-05  3.8659070E-02
3.00 0.0200 0.682    fe58     58   5.0158842E-06  1.3603796E-05  8.5879119E-06  5.8687642E-06  3.7051209E-06  1.9974428E-01
3.00 0.0200 0.682    fe59     59  -7.5053546E-42 -7.5053546E-42  0.0000000E+00 -3.2384008E-42  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    fe60     60   2.2710534E-08  2.2710534E-08  0.0000000E+00  9.7974686E-09  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    co59     59   1.1354496E-06  8.9357472E-06  7.8002977E-06  3.8549383E-06  3.3653175E-06  5.8991365E-02
3.00 0.0200 0.682    co60     60   7.9813800E-14  7.9813800E-14  0.0000000E+00  3.4432181E-14  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0200 0.682    ni58     58  -1.6888516E-06  1.1315352E-04  1.1484238E-04  4.8815153E-05  4.9546954E-05 -6.4623076E-03
