4.50 0.0200   21   8.527679E-01  5.739868E-03  3.634127E+01  4.205048E-03  9.208129E-01  7.326037E-01  3.443306E+08  2.653068E+03  7.775273E+07  1.358967E+04  1.934228E+00  2.292062E+04  3.763255E+08  7.979738E+02 -6.180567E+00  2.727884E+03
5.50 0.0200    1   8.852021E-01  2.682984E-03  3.780832E+01  0.000000E+00  0.000000E+00  0.000000E+00  2.272596E+08  2.204675E+07  7.197254E+07  0.000000E+00  5.463187E+00  2.163595E+04  9.169639E+04  4.515102E+02 -6.117940E+00  3.412508E+03
5.50 0.0200    2   8.861350E-01  3.055811E-03  3.069453E+01  0.000000E+00  0.000000E+00  0.000000E+00  2.392052E+08  2.666368E+07  7.323888E+07  3.561244E+03  5.463170E+00  2.247920E+04  2.106249E+05  4.658769E+02 -6.159452E+00  3.388231E+03
5.50 0.0200    3   8.871683E-01  3.125370E-03  2.738570E+01  1.150370E-05  1.189449E-02  3.680748E-03  2.474578E+08  3.147675E+07  7.424326E+07  3.812351E+03  5.463143E+00  2.319389E+04  3.377463E+05  4.771875E+02 -6.193434E+00  3.376826E+03
5.50 0.0200    4   8.882353E-01  3.173411E-03  2.573292E+01  2.658367E-04  2.465042E-01  8.377003E-02  2.555809E+08  3.661792E+07  7.517972E+07  3.953366E+03  5.463103E+00  2.390499E+04  5.263171E+05  4.891899E+02 -6.226222E+00  3.369572E+03
5.50 0.0200    5   8.891754E-01  3.210366E-03  2.303616E+01  5.169511E-04  4.286562E-01  1.610256E-01  2.638534E+08  4.301348E+07  7.613027E+07  4.039454E+03  5.463039E+00  2.467407E+04  8.429568E+05  5.009800E+02 -6.260603E+00  3.358787E+03
5.50 0.0200    6   8.900024E-01  3.240049E-03  2.310980E+01  6.436706E-04  4.789338E-01  1.986608E-01  2.708932E+08  4.959223E+07  7.703405E+07  4.164018E+03  5.462934E+00  2.547192E+04  1.269386E+06  5.144532E+02 -6.295155E+00  3.345913E+03
5.50 0.0200    7   8.908055E-01  3.241777E-03  2.114090E+01  1.006722E-03  6.958349E-01  3.105464E-01  2.769451E+08  5.505872E+07  7.779403E+07  4.288599E+03  5.462759E+00  2.632152E+04  1.840902E+06  5.301996E+02 -6.330778E+00  3.335051E+03
5.50 0.0200    8   8.913971E-01  3.309250E-03  2.094240E+01  1.169026E-03  7.314190E-01  3.532601E-01  2.842857E+08  6.018365E+07  7.857627E+07  4.374184E+03  5.462407E+00  2.740642E+04  3.068655E+06  5.474601E+02 -6.374631E+00  3.324121E+03
5.50 0.0200    9   8.919322E-01  3.311694E-03  1.997108E+01  1.369596E-03  8.036795E-01  4.135635E-01  2.899370E+08  6.292868E+07  7.918091E+07  4.539255E+03  5.461755E+00  2.829122E+04  4.300061E+06  5.633791E+02 -6.409129E+00  3.301020E+03
5.50 0.0200   10   8.923882E-01  3.346026E-03  2.089028E+01  1.515865E-03  8.303784E-01  4.530345E-01  2.933979E+08  6.525918E+07  7.976414E+07  4.677644E+03  5.460524E+00  2.926879E+04  6.368675E+06  5.783175E+02 -6.446012E+00  3.280854E+03
5.50 0.0200   11   8.928067E-01  3.371656E-03  1.977779E+01  1.708806E-03  8.833734E-01  5.068149E-01  3.011236E+08  6.689298E+07  8.027406E+07  4.845542E+03  5.458360E+00  3.012307E+04  7.515167E+06  5.918857E+02 -6.477248E+00  3.259981E+03
5.50 0.0200   12   8.931850E-01  3.421724E-03  2.112933E+01  1.725852E-03  8.269077E-01  5.043810E-01  3.066109E+08  6.839850E+07  8.077770E+07  5.088814E+03  5.454583E+00  3.095439E+04  1.280261E+07  6.038781E+02 -6.506805E+00  3.248255E+03
5.50 0.0200   13   8.935538E-01  3.413379E-03  2.239319E+01  1.825571E-03  8.715497E-01  5.348281E-01  3.093766E+08  6.943391E+07  8.115164E+07  5.103853E+03  5.449475E+00  3.154783E+04  1.555480E+07  6.120587E+02 -6.527424E+00  3.227647E+03
5.50 0.0200   14   8.939390E-01  3.455341E-03  1.952388E+01  1.948237E-03  8.812618E-01  5.638336E-01  3.138859E+08  7.057060E+07  8.156447E+07  5.284049E+03  5.441760E+00  3.218923E+04  2.074001E+07  6.202590E+02 -6.549276E+00  3.220667E+03
5.50 0.0200   15   8.942995E-01  3.495872E-03  2.111387E+01  1.980603E-03  8.578547E-01  5.665547E-01  3.178308E+08  7.182471E+07  8.197739E+07  5.447120E+03  5.431213E+00  3.286418E+04  2.680911E+07  6.264393E+02 -6.571807E+00  3.213719E+03
5.50 0.0200   16   8.946326E-01  3.480434E-03  2.130053E+01  2.112806E-03  9.131588E-01  6.070523E-01  3.204077E+08  7.285871E+07  8.232016E+07  5.444840E+03  5.419031E+00  3.332248E+04  3.076306E+07  6.298980E+02 -6.586844E+00  3.208220E+03
5.50 0.0200   17   8.950049E-01  3.587842E-03  2.237905E+01  2.240598E-03  9.016358E-01  6.244975E-01  3.260551E+08  7.400815E+07  8.275650E+07  5.739268E+03  5.402002E+00  3.389025E+04  4.384247E+07  6.356525E+02 -6.605186E+00  3.211073E+03
5.50 0.0200   18   8.953099E-01  3.612697E-03  2.294074E+01  2.255380E-03  8.859725E-01  6.242926E-01  3.299922E+08  7.513814E+07  8.314994E+07  5.840215E+03  5.382923E+00  3.438835E+04  5.363072E+07  6.372524E+02 -6.621028E+00  3.212888E+03
5.50 0.0200   19   8.955976E-01  3.598034E-03  2.206858E+01  2.334416E-03  9.179440E-01  6.488031E-01  3.341703E+08  7.602298E+07  8.347857E+07  5.824868E+03  5.362667E+00  3.463813E+04  5.830071E+07  6.372526E+02 -6.628887E+00  3.213699E+03
