#  
#  1.0 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
Sn	50	5.2444979e-11	2.4842606e-10	1.9598109e-10	7.4642675e-10	5.8884935e-10	1.0298299e-01
Sb	51	1.4208675e-12	1.2940865e-11	1.1519997e-11	3.8882424e-11	3.4613253e-11	5.0510915e-02
Te	52	1.7578454e-11	1.2258128e-10	1.0500282e-10	3.6831058e-10	3.1549394e-10	6.7223166e-02
I	53	9.2236829e-13	7.4204125e-11	7.3281756e-11	2.2295545e-10	2.2018408e-10	5.4321779e-03
Xe	54	2.0326155e-11	3.5997964e-10	3.3965348e-10	1.0816032e-09	1.0205308e-09	2.5241870e-02
Cs	55	1.2341869e-12	2.7238461e-11	2.6004274e-11	8.1841317e-11	7.8133050e-11	2.0137832e-02
Ba	56	1.3547154e-10	4.7306020e-10	3.3758866e-10	1.4213677e-09	1.0143268e-09	1.4652854e-01
La	57	1.4356525e-11	4.7760793e-11	3.3404268e-11	1.4350319e-10	1.0036724e-10	1.5526957e-01
Ce	58	5.8511719e-11	1.4483099e-10	8.6319265e-11	4.3516256e-10	2.5935688e-10	2.2475375e-01
Pr	59	5.5624171e-12	1.8757539e-11	1.3195122e-11	5.6359342e-11	3.9646373e-11	1.5276245e-01
Nd	60	3.8182827e-11	1.0049088e-10	6.2308055e-11	3.0193726e-10	1.8721224e-10	2.0758247e-01
Sm	62	6.4345138e-12	2.2155552e-11	1.5721038e-11	6.6569089e-11	4.7235798e-11	1.4900136e-01
Eu	63	5.1327665e-13	8.5143286e-12	8.0010520e-12	2.5582351e-11	2.4040147e-11	2.7003334e-02
Gd	64	4.8244180e-12	2.7149818e-11	2.2325400e-11	8.1574978e-11	6.7079419e-11	8.4967674e-02
Tb	65	5.1938298e-13	5.9216493e-12	5.4022664e-12	1.7792326e-11	1.6231776e-11	3.9866687e-02
Dy	66	7.2598438e-12	4.2872270e-11	3.5612426e-11	1.2881502e-10	1.0700193e-10	8.0574918e-02
Ho	67	6.4452155e-13	8.5636818e-12	7.9191602e-12	2.5730638e-11	2.3794094e-11	3.3981382e-02
Er	68	5.2694148e-12	2.7517846e-11	2.2248432e-11	8.2680764e-11	6.6848158e-11	9.2315036e-02
Tm	69	5.9272795e-13	4.2158364e-12	3.6231085e-12	1.2667001e-11	1.0886076e-11	6.5802443e-02
Yb	70	1.2127165e-11	3.2424315e-11	2.0297149e-11	9.7422854e-11	6.0985289e-11	2.0343576e-01
Lu	71	1.3304485e-12	4.8323167e-12	3.5018681e-12	1.4519292e-11	1.0521795e-11	1.3985560e-01
Hf	72	1.0983940e-11	2.5851653e-11	1.4867713e-11	7.7674482e-11	4.4671879e-11	2.4024415e-01
Ta	73	1.2669962e-12	3.4996289e-12	2.2326327e-12	1.0515067e-11	6.7082204e-12	1.9520472e-01
W	74	1.2702684e-11	2.6045142e-11	1.3342458e-11	7.8255842e-11	4.0089060e-11	2.9049090e-01
Re	75	1.2232318e-12	6.7360670e-12	5.5128352e-12	2.0239344e-11	1.6563993e-11	8.7031388e-02
Os	76	1.1299182e-11	8.0566086e-11	6.9266904e-11	2.4207075e-10	2.0812096e-10	6.5626491e-02
Ir	77	1.7375527e-12	6.7060903e-11	6.5323350e-11	2.0149276e-10	1.9627207e-10	1.1400945e-02
Pt	78	1.1147763e-11	1.3379035e-10	1.2264259e-10	4.0198963e-10	3.6849479e-10	3.7783492e-02
Au	79	1.8011209e-12	2.2015435e-11	2.0214314e-11	6.6148090e-11	6.0736400e-11	3.7068262e-02
Hg	80	4.4167368e-11	8.8986124e-11	4.4818755e-11	2.6736979e-10	1.3466348e-10	2.9786250e-01
Tl	81	2.5803993e-11	4.5378514e-11	1.9574521e-11	1.3634534e-10	5.8814062e-11	3.6515913e-01
Pb	82	4.6859199e-09	5.0556501e-09	3.6973016e-10	1.5190324e-08	1.1108999e-09	1.1358921e+00
Bi	83	4.9007642e-11	6.4190151e-11	1.5182510e-11	1.9286723e-10	4.5617724e-11	6.2612483e-01
#  
#  1.25 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
H	1	-2.2652815e-02	4.2740584e-01	4.5005866e-01	7.1130347e-01	7.4900306e-01	-2.2428664e-02
He	2	2.0819562e-02	1.7105121e-01	1.5023166e-01	2.8466930e-01	2.5002067e-01	5.6364708e-02
C	6	1.5694721e-03	1.6735931e-03	1.0412098e-04	2.7852510e-03	1.7328172e-04	1.2061116e+00
N	7	5.1077368e-05	8.1552102e-05	3.0474733e-05	1.3572180e-04	5.0717097e-05	4.2749523e-01
O	8	6.8186339e-05	3.2053801e-04	2.5235167e-04	5.3345036e-04	4.1997233e-04	1.0387334e-01
F	9	1.8613302e-07	2.0080647e-07	1.4673450e-08	3.3418903e-07	2.4420060e-08	1.1362455e+00
Ne	10	1.4115700e-04	1.9634008e-04	5.5183074e-05	3.2675589e-04	9.1837565e-05	5.5120307e-01
Na	11	1.4856752e-06	2.6591916e-06	1.1735164e-06	4.4255179e-06	1.9530063e-06	3.5526046e-01
Mg	12	1.3268525e-06	3.2496358e-05	3.1169506e-05	5.4081555e-05	5.1873361e-05	1.8104784e-02
Al	13	1.7957777e-07	2.4137939e-06	2.2342161e-06	4.0171186e-06	3.7182591e-06	3.3575004e-02
Si	14	7.3564440e-08	2.9355690e-05	2.9282125e-05	4.8854746e-05	4.8732318e-05	1.0896920e-03
P	15	2.4508496e-08	2.5846588e-07	2.3395738e-07	4.3014779e-07	3.8935991e-07	4.3266463e-02
S	16	-1.0953928e-08	1.3609334e-05	1.3620289e-05	2.2649121e-05	2.2667352e-05	-3.4942581e-04
Cl	17	4.4537770e-09	1.8138591e-07	1.7693214e-07	3.0186866e-07	2.9445653e-07	1.0796846e-02
Ar	18	-6.3979930e-09	2.9297136e-06	2.9361117e-06	4.8757300e-06	4.8863777e-06	-9.4738334e-04
K	19	1.5002205e-09	1.3946123e-07	1.3796101e-07	2.3209617e-07	2.2959946e-07	4.6971221e-03
Ca	20	-8.0758093e-09	2.2884733e-06	2.2965490e-06	3.8085557e-06	3.8219957e-06	-1.5298802e-03
Sc	21	1.0555003e-10	1.5879972e-09	1.4824472e-09	2.6427994e-09	2.4671394e-09	2.9870511e-02
Ti	22	1.4352667e-09	1.1579490e-07	1.1435963e-07	1.9270984e-07	1.9032122e-07	5.4166732e-03
V	23	-4.7711575e-11	1.3574682e-08	1.3622393e-08	2.2591451e-08	2.2670854e-08	-1.5237545e-03
Cr	24	-8.0426280e-10	6.3852284e-07	6.3932710e-07	1.0626516e-06	1.0639901e-06	-5.4667923e-04
Mn	25	1.7910844e-09	4.8947269e-07	4.8768161e-07	8.1459725e-07	8.1161647e-07	1.5920881e-03
Fe	26	-1.3891076e-07	5.6779239e-05	5.6918150e-05	9.4493959e-05	9.4725138e-05	-1.0612046e-03
Co	27	1.7673361e-08	1.4608898e-07	1.2841562e-07	2.4312630e-07	2.1371368e-07	5.5999618e-02
Ni	28	5.3717454e-08	2.7880157e-06	2.7342983e-06	4.6399113e-06	4.5505130e-06	8.4493237e-03
Cu	29	1.1864658e-08	4.5080278e-08	3.3215620e-08	7.5024146e-08	5.5278574e-08	1.3264423e-01
Zn	30	1.0239263e-08	5.3255544e-08	4.3016280e-08	8.8629703e-08	7.1589170e-08	9.2731967e-02
Ga	31	1.3826736e-09	3.8465033e-09	2.4638297e-09	6.4014826e-09	4.1003899e-09	1.9345541e-01
Ge	32	3.8814916e-09	1.1350160e-08	7.4686684e-09	1.8889326e-08	1.2429614e-08	1.8175880e-01
As	33	1.1958320e-10	5.5894433e-10	4.3936113e-10	9.3021433e-10	7.3119987e-10	1.0454692e-01
Se	34	2.9570542e-09	7.5321793e-09	4.5751251e-09	1.2535311e-08	7.6140803e-09	2.1651766e-01
