0     0       50Ti    4.83E-12  1.66E-12  4.40E-12  1.02E-12  2.13E-12  1.89E-13
0     0       50V     4.79E-10  1.21E-11  3.07E-11  9.79E-12  2.34E-11  6.60E-12
0     0       51V     1.26E-05  5.32E-06  6.70E-06  9.42E-06  1.30E-05  1.06E-05
0     0       50Cr    1.62E-05  8.49E-06  1.00E-05  1.35E-05  1.90E-05  1.35E-05
0     0       52Cr    1.13E-03  9.22E-04  2.32E-03  1.89E-03  4.00E-03  3.43E-03
0     0       53Cr    7.63E-05  6.52E-05  1.24E-04  1.22E-04  2.22E-04  2.00E-04
0     0       54Cr    1.37E-09  1.23E-10  3.35E-10  1.62E-10  3.75E-10  2.15E-10
0     0       55Mn    3.16E-04  3.02E-04  3.54E-04  5.11E-04  7.06E-04  5.89E-04
0     0       54Fe    1.17E-03  1.06E-03  1.03E-03  1.61E-03  2.18E-03  1.59E-03
0     0       56Fe    9.12E-02  1.00E-01  1.00E-01  1.00E-01  1.00E-01  1.00E-01
0     0       57Fe    3.72E-03  3.43E-03  1.98E-03  2.41E-03  8.51E-04  1.07E-03
0     0       58Fe    4.02E-08  5.51E-11  1.24E-10  8.14E-11  2.00E-10  1.34E-10
0     0       59Co    2.74E-03  2.14E-04  8.04E-05  8.58E-05  4.26E-06  7.58E-06
0     0       58Ni    1.27E-01  3.03E-03  1.31E-03  6.56E-04  3.34E-04  3.24E-04
0     0       60Ni    1.67E-02  2.87E-03  1.47E-03  2.36E-03  1.37E-04  3.06E-04
0     0       61Ni    1.41E-03  1.53E-04  6.55E-05  9.64E-05  2.50E-06  6.29E-06
0     0       62Ni    1.79E-02  8.48E-04  3.01E-04  3.31E-04  3.77E-06  7.66E-06
0     0       64Ni    5.81E-09  2.16E-16  1.40E-18  4.30E-16  2.32E-15  2.12E-15
0     0       63Cu    6.07E-04  2.17E-06  7.73E-07  2.00E-06  5.25E-07  2.21E-06
0     0       65Cu    4.07E-05  1.79E-06  6.52E-07  9.84E-07  1.84E-08  5.93E-08
0     0       64Zn    1.03E-02  2.68E-05  1.34E-05  3.49E-05  1.90E-06  7.30E-06
0     0       66Zn    1.68E-04  2.32E-05  7.78E-06  9.06E-06  4.20E-08  1.45E-07
0     0       67Zn    3.41E-05  5.47E-08  1.30E-08  1.28E-08  1.72E-11  6.29E-11
0     0       68Zn    7.93E-04  1.00E-08  2.19E-09  2.52E-09  4.54E-12  1.69E-11
0     0       70Zn    5.87E-21  1.44E-20  9.50E-24  8.71E-20  5.62E-20  9.80E-20
0     0       69Ga    1.15E-06  1.92E-12  2.89E-13  2.44E-13  1.80E-15  2.75E-15
0     0       71Ga    1.20E-06  2.69E-14  3.60E-15  2.43E-15  9.19E-17  5.36E-16
0     0       70Ge    6.17E-06  2.43E-16  7.85E-17  8.86E-15  8.18E-14  1.19E-13
0     0       72Ge    2.15E-09  5.39E-17  3.29E-16  4.65E-14  4.24E-13  5.23E-13
0     0       73Ge    1.08E-08  1.00E-17  7.15E-19  3.39E-16  1.86E-15  3.79E-15
0     0       74Ge    2.41E-11  4.04E-17  9.14E-19  1.09E-15  8.49E-16  1.37E-14
0     0       76Ge    3.71E-21  1.35E-20  2.71E-22  2.76E-19  3.98E-19  1.86E-18
0     0       75As    1.97E-08  5.07E-14  8.92E-15  1.32E-14  1.32E-15  3.54E-15
0     0       74Se    1.20E-06  1.64E-15  3.90E-16  2.47E-14  2.50E-13  3.84E-13
0     0       76Se    7.31E-10  1.27E-16  6.55E-16  8.66E-14  9.13E-13  1.26E-12
0     0       77Se    2.26E-09  6.84E-18  5.90E-19  3.02E-16  8.60E-16  5.72E-15
0     0       78Se    1.34E-11  2.59E-17  4.76E-17  7.08E-15  5.19E-14  7.15E-14
0     0       80Se    1.39E-15  4.23E-17  9.22E-17  5.43E-15  1.66E-13  2.21E-13
0     0       82Se    1.10E-19  2.92E-20  1.07E-19  2.36E-18  2.00E-16  2.90E-17
0     0       79Br    1.08E-09  1.37E-14  2.52E-15  5.92E-15  8.06E-15  1.70E-14
0     0       81Br    1.81E-09  1.33E-17  2.62E-17  2.97E-15  4.33E-14  6.17E-14
0     0       78Kr    1.88E-07  2.34E-15  4.17E-16  1.10E-14  1.18E-13  1.89E-13
0     0       80Kr    5.06E-09  7.96E-17  2.08E-15  2.62E-13  3.01E-12  4.44E-12
0     0       82Kr    1.09E-11  5.36E-17  6.20E-16  7.01E-14  1.47E-12  1.57E-12
0     0       83Kr    1.50E-11  1.42E-17  1.17E-16  1.74E-14  4.15E-13  2.40E-13
0     0       84Kr    9.49E-13  8.72E-17  1.15E-15  4.54E-13  1.21E-12  3.98E-11
0     0       86Kr    5.67E-17  5.08E-16  2.62E-16  9.55E-14  1.33E-13  7.46E-12
0     0       85Rb    4.99E-11  1.27E-17  1.31E-15  1.55E-13  6.43E-13  1.18E-11
0     0       87Rb    3.18E-17  9.64E-17  1.64E-16  1.39E-14  4.89E-14  6.00E-13
0     0       84Sr    8.95E-10  1.87E-17  2.05E-15  2.37E-13  2.98E-12  4.33E-12
0     0       86Sr    3.12E-11  7.90E-17  1.40E-14  1.52E-12  1.06E-11  1.35E-10
0     0       87Sr    1.23E-10  2.68E-17  1.27E-14  1.42E-12  1.04E-12  1.46E-10
0     0       88Sr    1.59E-11  4.59E-16  1.61E-13  2.55E-11  5.27E-10  6.29E-10
0     0       89Y     1.91E-13  1.46E-16  1.52E-14  2.46E-12  4.94E-11  1.45E-10
0     0       90Zr    9.60E-11  4.91E-16  9.36E-14  1.80E-11  1.61E-10  4.08E-10
0     0       91Zr    6.04E-11  3.01E-17  1.27E-14  9.38E-12  3.57E-11  6.01E-11
0     0       92Zr    9.06E-14  5.68E-17  2.45E-14  8.03E-12  4.41E-11  3.88E-10
0     0       94Zr    9.74E-14  6.23E-17  3.10E-13  1.19E-10  3.84E-10  2.29E-09
0     0       96Zr    3.29E-16  1.49E-19  2.24E-16  2.32E-13  5.16E-13  2.92E-12
0     0       93Nb    5.14E-12  2.85E-17  1.08E-14  2.08E-12  6.87E-12  1.97E-10
0     0       92Mo    4.24E-09  1.71E-16  1.04E-14  2.22E-12  2.01E-11  4.27E-11
0     0       94Mo    9.45E-13  1.74E-16  1.19E-14  2.62E-12  2.00E-11  4.83E-11
0     0       95Mo    1.33E-14  1.09E-17  3.64E-14  1.61E-11  4.33E-11  2.67E-10
0     0       96Mo    6.07E-14  4.62E-16  1.42E-13  5.85E-11  1.98E-10  9.33E-10
0     0       97Mo    9.05E-15  1.31E-15  4.36E-14  2.20E-11  1.75E-10  1.15E-09
0     0       98Mo    5.97E-14  1.43E-15  4.11E-14  2.29E-11  7.88E-11  4.40E-10
0     2.5E4    3H     1.35E-29  5.76E-27  2.57E-28  1.40E-22  3.77E-21  1.01E-22
0     2.5E4   14C     4.16E-11  2.09E-10  3.82E-09  6.09E-03  6.59E-03  5.87E-05
0     2.5E4   22Na    1.01E-07  3.16E-07  3.75E-07  1.76E-06  2.98E-06  1.10E-05
0     2.5E4   26Al    6.35E-07  6.77E-07  2.05E-06  1.71E-06  4.20E-06  1.57E-06
0     2.5E4   32Si    3.30E-11  7.42E-12  3.67E-11  1.25E-11  1.98E-11  2.67E-12
0     2.5E4   36Cl    6.73E-08  3.76E-08  1.10E-07  5.13E-08  1.03E-07  2.43E-08
0     2.5E4   39Ar    1.11E-09  5.86E-10  1.38E-09  6.58E-10  1.29E-09  2.56E-10
0     2.5E4   41Ca    6.72E-07  7.79E-07  1.54E-06  1.48E-06  3.06E-06  2.07E-06
0     2.5E4   45Ca    2.49E-12  5.65E-13  2.12E-12  5.17E-13  9.15E-13  7.22E-14
0     2.5E4   44Ti    6.94E-05  5.95E-05  3.01E-05  5.73E-05  1.19E-05  1.03E-05
0     2.5E4   49V     5.86E-06  2.80E-06  5.50E-06  5.38E-06  9.78E-06  8.84E-06
0     2.5E4   53Mn    7.64E-05  6.53E-05  1.25E-04  1.23E-04  2.22E-04  2.01E-04
0     2.5E4   54Mn    1.37E-09  1.23E-10  3.35E-10  1.62E-10  3.75E-10  2.16E-10
0     2.5E4   55Fe    5.43E-05  5.15E-05  6.11E-05  8.71E-05  1.21E-04  1.00E-04
0     2.5E4   60Fe    2.95E-20  7.31E-18  5.55E-21  5.67E-18  3.22E-15  1.31E-21
0     2.5E4   57Co    1.97E-04  1.79E-04  1.04E-04  1.24E-04  4.37E-05  5.51E-05
0     2.5E4   60Co    2.69E-13  6.80E-17  2.10E-16  1.25E-16  3.67E-16  2.86E-16
0     2.5E4   56Ni    9.13E-02  1.00E-01  1.00E-01  1.00E-01  1.00E-01  1.00E-01
0     2.5E4   57Ni    3.53E-03  3.26E-03  1.88E-03  2.30E-03  8.08E-04  1.02E-03
0     2.5E4   59Ni    2.75E-03  2.14E-04  8.04E-05  8.59E-05  4.27E-06  7.58E-06
0     2.5E4   63Ni    2.20E-12  5.34E-18  8.84E-19  1.58E-18  4.48E-16  3.81E-18
0     2.5E4   65Zn    4.07E-05  1.79E-06  6.53E-07  9.84E-07  1.84E-08  5.93E-08
0     2.5E4   68Ge    7.93E-04  1.00E-08  2.19E-09  2.53E-09  4.53E-12  1.70E-11
0     2.5E4   79Se    5.24E-18  2.41E-18  6.81E-20  1.50E-16  4.20E-17  1.82E-15
0     2.5E4   81Kr    1.14E-09  2.59E-18  8.32E-18  1.52E-15  1.14E-14  1.95E-14
