#SPECIES   W7          W70         WDD1        WDD2         WDD3        CDD1       CDD2
40Ar      1.87E-08    3.42E-12    7.81E-09    5.19E-09     3.56E-09    7.56E-09   4.82E-09
39K       7.23E-05    1.67E-06    6.76E-05    5.67E-05     4.52E-05    6.39E-05   5.34E-05
41K       6.11E-06    4.83E-07    5.43E-06    4.52E-06     3.62E-06    5.20E-06   4.25E-06
40Ca      1.19E-02    1.81E-02    3.10E-02    2.43E-02     1.88E-02    3.18E-02   2.38E-02
42Ca      2.82E-05    1.06E-08    3.09E-05    2.55E-05     1.93E-05    2.97E-05   2.36E-05
43Ca      9.64E-08    6.17E-08    6.60E-08    2.22E-07     4.18E-07    5.15E-08   2.96E-07
44Ca      8.02E-06    1.38E-05    1.44E-05    2.95E-05     4.66E-05    1.37E-05   3.62E-05
46Ca      4.16E-09    1.01E-09    5.01E-09    4.73E-09     4.47E-09    8.79E-10   1.18E-09
48Ca      2.60E-09    2.47E-09    1.63E-06    1.64E-06     1.55E-06    3.54E-11   4.93E-10
45Sc      2.21E-07    3.85E-08    2.49E-07    2.09E-07     1.76E-07    2.47E-07   2.02E-07
46Ti      1.33E-05    3.49E-07    1.34E-05    1.12E-05     8.58E-06    1.27E-05   1.05E-05
47Ti      5.10E-07    4.08E-07    5.65E-07    1.56E-06     2.57E-06    4.93E-07   1.95E-06
48Ti      2.05E-04    3.13E-04    7.10E-04    6.11E-04     5.23E-04    7.32E-04   6.20E-04
49Ti      1.71E-05    2.94E-06    5.27E-05    4.39E-05     3.59E-05    5.22E-05   4.17E-05
50Ti      1.07E-04    1.04E-04    3.52E-04    3.51E-04     3.51E-04    2.08E-05   7.28E-05
50V       1.55E-08    1.22E-08    9.74E-09    9.33E-09     9.07E-09    4.94E-09   1.20E-08
51V       7.49E-05    4.27E-05    1.33E-04    1.16E-04     1.02E-04    1.11E-04   1.09E-04
50Cr      2.73E-04    6.65E-05    4.44E-04    3.53E-04     2.84E-04    4.49E-04   3.36E-04
52Cr      6.36E-03    7.73E-03    1.68E-02    1.37E-02     1.13E-02    1.65E-02   1.40E-02
53Cr      9.22E-04    5.66E-04    1.66E-03    1.38E-03     1.17E-03    1.59E-03   1.33E-03
54Cr      9.24E-04    9.04E-04    1.60E-03    1.60E-03     1.60E-03    2.31E-04   8.02E-04
55Mn      8.87E-03    6.66E-03    8.48E-03    7.05E-03     6.16E-03    8.10E-03   6.77E-03
54Fe      9.55E-02    7.30E-02    7.08E-02    5.91E-02     5.15E-02    7.20E-02   5.64E-02
56Fe      6.26E-01    6.80E-01    5.87E-01    7.13E-01     7.95E-01    5.65E-01   7.57E-01
57Fe      2.45E-02    1.92E-02    1.08E-02    1.67E-02     2.06E-02    1.01E-02   1.80E-02
58Fe      3.03E-03    2.96E-03    3.23E-03    3.23E-03     3.24E-03    8.63E-04   3.06E-03
59Co      1.04E-03    9.68E-04    3.95E-04    6.25E-04     7.75E-04    2.91E-04   6.35E-04
58Ni      1.10E-01    8.34E-02    3.14E-02    4.29E-02     4.97E-02    3.15E-02   4.47E-02
60Ni      1.24E-02    1.47E-02    5.08E-03    1.15E-02     1.67E-02    2.81E-03   1.21E-02
61Ni      2.35E-04    2.15E-04    7.00E-05    3.58E-04     5.92E-04    4.00E-05   4.27E-04
62Ni      3.07E-03    1.85E-03    1.37E-03    3.69E-03     5.46E-03    6.51E-04   4.60E-03
64Ni      1.70E-05    1.65E-05    2.32E-04    2.31E-04     2.32E-04    2.47E-06   9.29E-06
63Cu      2.32E-06    3.00E-06    2.77E-06    4.88E-06     5.92E-06    6.14E-07   3.97E-06
65Cu      6.84E-07    8.33E-07    7.08E-07    2.04E-06     3.38E-06    1.14E-07   2.05E-06
64Zn      1.06E-05    7.01E-05    3.71E-06    3.10E-05     5.76E-05    1.87E-06   3.96E-05
66Zn      1.76E-05    6.26E-06    2.16E-05    6.42E-05     1.04E-04    2.84E-06   6.11E-05
67Zn      1.58E-08    7.28E-09    6.35E-07    6.55E-07     6.27E-07    1.69E-09   4.01E-08
68Zn      1.74E-08    1.13E-08    7.44E-08    8.81E-08     9.42E-08    3.08E-09   3.03E-08
22Na      1.73E-08    1.08E-08    2.66E-08    1.33E-08     3.04E-08    1.68E-08   9.64E-09
26Al      4.93E-07    2.92E-08    4.61E-07    1.88E-07     1.64E-07    3.81E-07   2.32E-07
36Cl      2.58E-06    3.97E-10    1.25E-06    7.85E-07     4.89E-07    1.23E-06   7.35E-07
39Ar      1.20E-08    2.00E-13    6.04E-09    4.44E-09     3.29E-09    5.99E-09   4.12E-09
