# Initial mass = 1.000, Z =  0.0070, Y =  0.260, M_mix = 0.00E+00
# Final mass = 0.606, Mass expelled =   0.3940
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 7.17865E-01 2.82839E-01
 he   2  10.993360  0.063359  0.362578 2.80755E-01 1.10617E-01
  c   6   8.097065 -0.372935 -0.073716 1.06961E-03 4.21427E-04
  n   7   7.788994 -0.081006  0.218214 6.13651E-04 2.41779E-04
  o   8   8.422994 -0.307006 -0.007787 3.01765E-03 1.18895E-03
  f   9   4.157922 -0.302078 -0.002859 1.94631E-07 7.66845E-08
 ne  10   7.670427 -0.299573 -0.000354 6.72868E-04 2.65110E-04
 na  11   6.026501 -0.283499  0.015720 1.74029E-05 6.85674E-06
 mg  12   7.340764 -0.299236 -0.000017 3.79351E-04 1.49464E-04
 al  13   6.170990 -0.299010  0.000209 2.84869E-05 1.12238E-05
 si  14   7.250781 -0.299219  0.000000 3.56330E-04 1.40394E-04
  p  15   5.170783 -0.299217  0.000002 3.26861E-06 1.28783E-06
  s  16   6.860782 -0.299218  0.000001 1.65728E-04 6.52967E-05
 cl  17   4.930782 -0.299218  0.000001 2.15287E-06 8.48229E-07
 ar  18   6.140774 -0.299226 -0.000007 3.93415E-05 1.55006E-05
  k  19   4.780140 -0.299860 -0.000640 1.67833E-06 6.61261E-07
 ca  20   5.990770 -0.299230 -0.000010 2.79421E-05 1.10092E-05
 sc  21   2.750779 -0.299221 -0.000002 1.80364E-08 7.10632E-09
 ti  22   4.610780 -0.299220 -0.000001 1.39123E-06 5.48143E-07
  v  23   3.659693 -0.300307 -0.001088 1.65711E-07 6.52901E-08
 cr  24   5.321487 -0.318513 -0.019294 7.76316E-06 3.05869E-06
 mn  25   5.180785 -0.299215  0.000004 5.93252E-06 2.33741E-06
 fe  26   7.240781 -0.299219  0.000000 6.92384E-04 2.72799E-04
 co  27   4.570775 -0.299225 -0.000006 1.56212E-06 6.15477E-07
 ni  28   5.900781 -0.299219  0.000000 3.32620E-05 1.31052E-05
 cu  29   3.950778 -0.299222 -0.000003 4.04062E-07 1.59200E-07
 zn  30   4.330785 -0.299215  0.000004 9.97709E-07 3.93097E-07
 ga  31   2.780781 -0.299219  0.000000 2.99736E-08 1.18096E-08
 ge  32   3.246405 -0.333595 -0.034376 9.12352E-08 3.59467E-08
 as  33   2.000777 -0.299223 -0.000004 5.34526E-09 2.10603E-09
 se  34   2.996851 -0.343149 -0.043930 5.58265E-08 2.19956E-08
 br  35   2.240788 -0.299212  0.000007 9.90690E-09 3.90332E-09
 kr  36   2.949205 -0.300795 -0.001575 5.30910E-08 2.09179E-08
 rb  37   2.043885 -0.316115 -0.016896 6.73396E-09 2.65318E-09
 sr  38   2.583354 -0.296646  0.002573 2.39078E-08 9.41967E-09
  y  39   1.870800 -0.299200  0.000019 4.70233E-09 1.85272E-09
 zr  40   2.230781 -0.299219  0.000000 1.10528E-08 4.35480E-09
 nb  41   1.110789 -0.299211  0.000008 8.53915E-10 3.36442E-10
 mo  42   1.519596 -0.420404 -0.121185 2.26036E-09 8.90583E-10
 ru  44   1.329833 -0.430167 -0.130948 1.53829E-09 6.06085E-10
 rh  45   0.760779 -0.299221 -0.000001 4.22476E-10 1.66456E-10
 pd  46   1.291596 -0.358404 -0.059184 1.48321E-09 5.84384E-10
 ag  47   0.900779 -0.299221 -0.000002 6.11299E-10 2.40852E-10
 cd  48   1.371060 -0.338940 -0.039721 1.88127E-09 7.41220E-10
 in  49   0.441736 -0.318264 -0.019045 2.26114E-10 8.90891E-11
 sn  50   1.708345 -0.361655 -0.062435 4.31932E-09 1.70181E-09
 sb  51   0.468250 -0.541750 -0.242531 2.54881E-10 1.00423E-10
 te  52   1.413406 -0.766594 -0.467375 2.35417E-09 9.27545E-10
  i  53   1.250775 -0.299225 -0.000005 1.61003E-09 6.34350E-10
 xe  54   1.903695 -0.336305 -0.037086 7.49064E-09 2.95131E-09
 cs  55   0.780782 -0.299218  0.000001 5.71353E-10 2.25113E-10
 ba  56   1.879883 -0.300117 -0.000898 7.41687E-09 2.92225E-09
 la  57   0.870386 -0.299614 -0.000395 7.33988E-10 2.89191E-10
 ce  58   1.278879 -0.301121 -0.001902 1.89648E-09 7.47215E-10
 pr  59   0.460780 -0.299220 -0.000001 2.89933E-10 1.14234E-10
 nd  60   1.125776 -0.324224 -0.025005 1.37228E-09 5.40680E-10
 sm  62   0.511070 -0.428930 -0.129711 3.47364E-10 1.36861E-10
 eu  63   0.210783 -0.299217  0.000002 1.75835E-10 6.92790E-11
 gd  64   0.750780 -0.299220 -0.000001 6.30888E-10 2.48570E-10
 tb  65   0.020783 -0.299217  0.000003 1.18729E-10 4.67793E-11
 dy  66   0.830125 -0.299875 -0.000656 7.82637E-10 3.08359E-10
 ho  67   0.170778 -0.299222 -0.000003 1.74044E-10 6.85735E-11
 er  68   0.613158 -0.306842 -0.007623 4.88798E-10 1.92586E-10
 tm  69  -0.179220 -0.299220 -0.000001 7.96303E-11 3.13743E-11
 yb  70   0.559754 -0.360246 -0.061027 4.47180E-10 1.76189E-10
 lu  71  -0.211301 -0.301301 -0.002082 7.66014E-11 3.01810E-11
 hf  72   0.410569 -0.299431 -0.000212 3.27163E-10 1.28902E-10
 ta  73  -0.419274 -0.299274 -0.000055 4.90751E-11 1.93356E-11
  w  74   0.350260 -0.299740 -0.000521 2.93279E-10 1.15552E-10
