#Chemical Yields (solar masses)
#Z=0.04 
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05  1.00e-06  4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -        -      1.44e-04  1.76e-03  
  7.00 -6.83D-01  6.83D-01 -5.53D-08 -1.00D-04  1.13D-05  1.15D-03 -8.51D-04  1.54D-06 -1.90D-06 -1.89D-08  1.24D-05 -1.13D-05  3.37D-07 -8.44D-05  5.45D-05 -5.40D-06  3.64D-07  1.66D-05  2.97D-05  1.25
  6.50 -6.10D-01  6.10D-01 -5.23D-08 -1.01D-04  8.45D-06  9.44D-04 -8.64D-04  3.39D-07 -1.79D-06 -1.85D-08  8.43D-06 -1.05D-05 -2.00D-07 -7.86D-05  3.54D-05 -5.39D-06  2.82D-07  1.76D-05  4.30D-05  1.18
  6.00 -5.61D-01  5.61D-01 -4.74D-08 -8.65D-05  7.80D-06  8.78D-04 -8.06D-04  2.06D-07 -1.66D-06 -1.72D-08  7.93D-06 -9.77D-06 -1.47D-07 -7.28D-05  2.86D-05 -5.11D-06  2.50D-07  1.63D-05  4.48D-05  1.08
  5.50 -4.78D-01  4.78D-01 -4.28D-08  2.00D-05  4.42D-05  8.34D-04 -7.06D-04  5.04D-08 -1.51D-06 -1.58D-08  6.70D-06 -8.69D-06  8.28D-08 -6.59D-05  1.61D-05 -4.65D-06  1.85D-07  1.60D-05  5.05D-05  1.02
  5.00 -3.97D-01  3.96D-01 -3.80D-08  7.42D-05  1.61D-05  1.18D-03 -6.11D-04  5.42D-08 -1.35D-06 -1.40D-08  6.29D-06 -7.53D-06  6.57D-07 -5.85D-05  1.13D-05 -3.79D-06  1.84D-07  2.12D-05  4.07D-05  0.98
  4.50 -3.11D-01  3.09D-01 -3.36D-08  2.55D-04  3.02D-05  2.48D-03 -3.66D-04  6.17D-07 -1.19D-06 -1.18D-08  2.05D-05 -5.12D-06  2.81D-06 -5.00D-05  2.05D-05 -8.24D-07  4.22D-07  3.07D-05  9.40D-06  0.94
  4.00 -2.32D-01  2.29D-01 -2.77D-08  3.21D-04  2.98D-05  2.96D-03 -1.78D-04  1.07D-06 -1.02D-06 -9.26D-09  9.15D-06 -3.72D-06  6.81D-06 -3.81D-05  2.71D-05  6.66D-07  7.15D-07  1.93D-05  2.00D-05  0.91
  3.50 -1.44D-01  1.39D-01 -2.33D-08  5.19D-04  6.20D-05  3.94D-03  2.36D-04  1.86D-06 -8.35D-07 -5.99D-09  3.87D-06  5.74D-07  1.79D-05 -1.07D-05  1.38D-05  1.28D-06  4.31D-07  4.85D-06  6.85D-07  0.88
  3.00 -5.62D-02  5.11D-02 -1.52D-08  5.95D-04  7.14D-05  3.88D-03  5.01D-04  1.97D-06 -6.40D-07 -1.42D-09  2.31D-06  4.18D-06  2.04D-05 -4.01D-07  5.42D-06  1.85D-06  1.30D-07  2.45D-06  6.26D-07  0.85
  2.50 -3.30D-02  2.26D-02 -1.73D-08  8.69D-03  1.77D-06  2.67D-05  1.53D-03  1.58D-06 -1.88D-07  5.11D-09  8.76D-06  8.85D-05  1.67D-06 -1.05D-07  1.76D-05  6.58D-06  4.27D-10  6.78D-06  7.32D-07  0.77
  2.00 -8.02D-02  4.50D-02 -1.33D-08  2.50D-02  9.33D-07  4.35D-05  9.01D-03  4.17D-06 -1.93D-07  5.34D-08  1.25D-04  7.17D-04  8.45D-06  1.23D-06  1.34D-04  5.41D-05  1.93D-09  6.07D-05  2.15D-06  0.65
  1.50 -3.04D-02  2.53D-02 -8.54D-09  4.82D-03  1.22D-05  1.86D-05  2.04D-04  6.23D-08 -1.51D-08  8.47D-08  0.00D+00  5.97D-05  3.03D-07 -6.90D-08  8.33D-07  6.81D-07  2.12D-10  2.85D-07  6.23D-08  0.64
  1.00 -1.25D-02  1.12D-02 -4.11D-09  1.25D-03  4.06D-07  1.04D-05  5.78D-05  1.75D-07 -1.04D-08  3.62D-08  0.00D+00  6.87D-06  1.38D-07  1.57D-09  1.10D-08  2.28D-08  2.27D-10  5.54D-08  5.28D-09  0.59
